catalog_number,name,body_family_code,body_family_name,brazil_priority,status
1,Lobo-guará,F01,Ágil,yes,planned
2,Onça-pintada,F01,Ágil,yes,planned
3,Jaguatirica,F01,Ágil,yes,planned
4,Gato-maracajá,F01,Ágil,yes,planned
5,Gato-do-mato-pequeno,F01,Ágil,yes,planned
6,Gato-mourisco,F01,Ágil,yes,planned
7,Cachorro-vinagre,F01,Ágil,yes,planned
8,Raposa-do-campo,F01,Ágil,yes,planned
9,Graxaim-do-campo,F01,Ágil,yes,planned
10,Quati,F01,Ágil,yes,planned
11,Mão-pelada,F01,Ágil,yes,planned
12,Ariranha,F01,Ágil,yes,planned
13,Lontra-neotropical,F01,Ágil,yes,planned
14,Irara,F01,Ágil,yes,planned
15,Furão-pequeno,F01,Ágil,yes,planned
16,Cachorro caramelo,F01,Ágil,yes,planned
17,Gato SRD brasileiro,F01,Ágil,no,planned
18,Raposa-vermelha,F01,Ágil,no,planned
19,Raposa-do-ártico,F01,Ágil,no,planned
20,Raposa-fennec,F01,Ágil,no,planned
21,Lobo-cinzento,F01,Ágil,no,planned
22,Coiote,F01,Ágil,no,planned
23,Dingo,F01,Ágil,no,planned
24,Chacal-dourado,F01,Ágil,no,planned
25,Leopardo,F01,Ágil,no,planned
26,Guepardo,F01,Ágil,no,planned
27,Tigre,F01,Ágil,no,planned
28,Leão,F01,Ágil,no,planned
29,Leopardo-das-neves,F01,Ágil,no,planned
30,Puma,F01,Ágil,no,planned
31,Lince,F01,Ágil,no,planned
32,Caracal,F01,Ágil,no,planned
33,Serval,F01,Ágil,no,planned
34,Hiena-malhada,F01,Ágil,no,planned
35,Diabo-da-tasmânia,F01,Ágil,no,planned
36,Panda-vermelho,F01,Ágil,no,planned
37,Capivara,F02,Robusto,yes,planned
38,Anta-brasileira,F02,Robusto,yes,planned
39,Queixada,F02,Robusto,yes,planned
40,Cateto,F02,Robusto,yes,planned
41,Porco-monteiro,F02,Robusto,yes,planned
42,Porco doméstico,F02,Robusto,no,planned
43,Urso-pardo,F02,Robusto,no,planned
44,Urso-negro,F02,Robusto,no,planned
45,Urso-polar,F02,Robusto,no,planned
46,Panda-gigante,F02,Robusto,no,planned
47,Coala,F02,Robusto,no,planned
48,Wombat,F02,Robusto,no,planned
49,Hipopótamo,F02,Robusto,no,planned
50,Rinoceronte-branco,F02,Robusto,no,planned
51,Rinoceronte-negro,F02,Robusto,no,planned
52,Búfalo-africano,F02,Robusto,no,planned
53,Búfalo-d’água,F02,Robusto,no,planned
54,Bisão-americano,F02,Robusto,no,planned
55,Bisão-europeu,F02,Robusto,no,planned
56,Boi,F02,Robusto,no,planned
57,Vaca,F02,Robusto,no,planned
58,Javali,F02,Robusto,no,planned
59,Elefante-africano,F02,Robusto,no,planned
60,Elefante-asiático,F02,Robusto,no,planned
61,Peixe-boi amazônico,F02,Robusto,yes,planned
62,Peixe-boi-marinho,F02,Robusto,yes,planned
63,Mico-leão-dourado,F03,Compacto,yes,planned
64,Mico-leão-preto,F03,Compacto,yes,planned
65,Mico-leão-da-cara-dourada,F03,Compacto,yes,planned
66,Sagui-de-tufos-brancos,F03,Compacto,yes,planned
67,Sagui-de-tufos-pretos,F03,Compacto,yes,planned
68,Sagui-da-serra-escuro,F03,Compacto,yes,planned
69,Uacari-branco,F03,Compacto,yes,planned
70,Macaco-prego,F03,Compacto,yes,planned
71,Macaco-de-cheiro,F03,Compacto,yes,planned
72,Mico-de-goeldi,F03,Compacto,yes,planned
73,Gambá-de-orelha-preta,F03,Compacto,yes,planned
74,Gambá-de-orelha-branca,F03,Compacto,yes,planned
75,Cuíca,F03,Compacto,yes,planned
76,Mocó,F03,Compacto,yes,planned
77,Preá,F03,Compacto,yes,planned
78,Cutia,F03,Compacto,yes,planned
79,Paca,F03,Compacto,yes,planned
80,Tatu-bola,F03,Compacto,yes,planned
81,Tatu-galinha,F03,Compacto,yes,planned
82,Tatu-peba,F03,Compacto,yes,planned
83,Tatu-canastra,F03,Compacto,yes,planned
84,Preguiça-de-três-dedos,F03,Compacto,yes,planned
85,Preguiça-de-coleira,F03,Compacto,yes,planned
86,Coelho,F03,Compacto,no,planned
87,Lebre,F03,Compacto,no,planned
88,Ouriço-cacheiro,F03,Compacto,yes,planned
89,Esquilo,F03,Compacto,no,planned
90,Hamster,F03,Compacto,no,planned
91,Tamanduá-bandeira,F04,Longilíneo,yes,planned
92,Tamanduá-mirim,F04,Longilíneo,yes,planned
93,Macaco-aranha,F04,Longilíneo,yes,planned
94,Muriqui-do-norte,F04,Longilíneo,yes,planned
95,Muriqui-do-sul,F04,Longilíneo,yes,planned
96,Bugio-ruivo,F04,Longilíneo,yes,planned
97,Bugio-preto,F04,Longilíneo,yes,planned
98,Macaco-barrigudo,F04,Longilíneo,yes,planned
99,Lêmure-de-cauda-anelada,F04,Longilíneo,no,planned
100,Sifaka,F04,Longilíneo,no,planned
101,Gibão,F04,Longilíneo,no,planned
102,Orangotango,F04,Longilíneo,no,planned
103,Chimpanzé,F04,Longilíneo,no,planned
104,Bonobo,F04,Longilíneo,no,planned
105,Gorila,F04,Longilíneo,no,planned
106,Canguru-vermelho,F04,Longilíneo,no,planned
107,Wallaby,F04,Longilíneo,no,planned
108,Suricato,F04,Longilíneo,no,planned
109,Veado-campeiro,F05,Ungulado,yes,planned
110,Cervo-do-pantanal,F05,Ungulado,yes,planned
111,Veado-catingueiro,F05,Ungulado,yes,planned
112,Veado-mateiro,F05,Ungulado,yes,planned
113,Corça,F05,Ungulado,no,planned
114,Cervo-vermelho,F05,Ungulado,no,planned
115,Alce,F05,Ungulado,no,planned
116,Rena,F05,Ungulado,no,planned
117,Antílope-saiga,F05,Ungulado,no,planned
118,Gazela,F05,Ungulado,no,planned
119,Gnu,F05,Ungulado,no,planned
120,Impala,F05,Ungulado,no,planned
121,Órix,F05,Ungulado,no,planned
122,Girafa,F05,Ungulado,no,planned
123,Okapi,F05,Ungulado,no,planned
124,Cavalo,F05,Ungulado,no,planned
125,Zebra,F05,Ungulado,no,planned
126,Burro,F05,Ungulado,no,planned
127,Cabra,F05,Ungulado,no,planned
128,Carneiro,F05,Ungulado,no,planned
129,Arara-azul,F06,Ave,yes,planned
130,Arara-vermelha,F06,Ave,yes,planned
131,Arara-canindé,F06,Ave,yes,planned
132,Papagaio-verdadeiro,F06,Ave,yes,planned
133,Papagaio-de-cara-roxa,F06,Ave,yes,planned
134,Papagaio-charão,F06,Ave,yes,planned
135,Calopsita,F06,Ave,no,planned
136,Periquito-rei,F06,Ave,yes,planned
137,Tucano-toco,F06,Ave,yes,planned
138,Tucano-de-bico-verde,F06,Ave,yes,planned
139,Araçari-banana,F06,Ave,yes,planned
140,Mutum-do-sudeste,F06,Ave,yes,planned
141,Jacutinga,F06,Ave,yes,planned
142,Ema,F06,Ave,yes,planned
143,Seriema,F06,Ave,yes,planned
144,Tuiuiú,F06,Ave,yes,planned
145,Garça-branca-grande,F06,Ave,yes,planned
146,Colhereiro,F06,Ave,yes,planned
147,Flamingo,F06,Ave,no,planned
148,Coruja-buraqueira,F06,Ave,yes,planned
149,Coruja-orelhuda,F06,Ave,no,planned
150,Suindara,F06,Ave,yes,planned
151,Harpia,F06,Ave,yes,planned
152,Carcará,F06,Ave,yes,planned
153,Gavião-carijó,F06,Ave,yes,planned
154,Falcão-peregrino,F06,Ave,no,planned
155,Águia-careca,F06,Ave,no,planned
156,Urubu-rei,F06,Ave,yes,planned
157,Pica-pau-amarelo,F06,Ave,yes,planned
158,João-de-barro,F06,Ave,yes,planned
159,Bem-te-vi,F06,Ave,yes,planned
160,Beija-flor,F06,Ave,yes,planned
161,Pavão,F06,Ave,no,planned
162,Pinguim-de-Magalhães,F06,Ave,yes,planned
163,Jacaré-do-pantanal,F07,Réptil/Anfíbio,yes,planned
164,Jacaré-açu,F07,Réptil/Anfíbio,yes,planned
165,Jacaré-de-papo-amarelo,F07,Réptil/Anfíbio,yes,planned
166,Teiú,F07,Réptil/Anfíbio,yes,planned
167,Iguana-verde,F07,Réptil/Anfíbio,yes,planned
168,Camaleão,F07,Réptil/Anfíbio,no,planned
169,Dragão-de-komodo,F07,Réptil/Anfíbio,no,planned
